Postcode,Plaatsnaam,Deelgemeente,Hoofdgemeente,Provincie
4520,Bas-Oha,Ja,WANZE,LUIK
7971,Basècles,Ja,BELOEIL,HENEGOUWEN
4983,Basse-Bodeux,Ja,TROIS-PONTS,LUIK
4690,Bassenge,Neen,BASSENGE,LUIK
9968,Bassevelde,Ja,ASSENEDE,OOST-VLAANDEREN
7830,Bassilly,Ja,SILLY,HENEGOUWEN
6600,Bastogne,Neen,BASTOGNE,LUXEMBURG
3870,Batsheers,Ja,HEERS,LIMBURG
4651,Battice,Ja,HERVE,LUIK
7130,Battignies,Ja,BINCHE,HENEGOUWEN
7331,Baudour,Ja,SAINT-GHISLAIN,HENEGOUWEN
7870,Bauffe,Ja,LENS,HENEGOUWEN
7604,Baugnies,Ja,PÉRUWELZ,HENEGOUWEN
1401,Baulers,Ja,NIVELLES,WAALS-BRABANT
9520,Bavegem,Ja,SINT-LIEVENS-HOUTEM,OOST-VLAANDEREN
8531,Bavikhove,Ja,HARELBEKE,WEST-VLAANDEREN
9150,Bazel,Ja,KRUIBEKE,OOST-VLAANDEREN
4052,Beaufays,Ja,CHAUDFONTAINE,LUIK
6500,Beaumont,Neen,BEAUMONT,HENEGOUWEN
5570,Beauraing,Neen,BEAURAING,NAMEN
6980,Beausaint,Ja,LA ROCHE-EN-ARDENNE,LUXEMBURG
1320,Beauvechain,Neen,BEAUVECHAIN,WAALS-BRABANT
6594,Beauwelz,Ja,MOMIGNIES,HENEGOUWEN
7532,Béclers,Ja,TOURNAI,HENEGOUWEN
3960,Beek,Ja,BREE,LIMBURG
9630,Beerlegem,Ja,ZWALM,OOST-VLAANDEREN
8730,Beernem,Neen,BEERNEM,WEST-VLAANDEREN
2340,Beerse,Neen,BEERSE,ANTWERPEN
1650,Beersel,Neen,BEERSEL,VLAAMS-BRABANT
8600,Beerst,Ja,DIKSMUIDE,WEST-VLAANDEREN
1673,Beert,Ja,PEPINGEN,VLAAMS-BRABANT
9080,Beervelde,Ja,LOCHRISTI,OOST-VLAANDEREN
2580,Beerzel,Ja,PUTTE,ANTWERPEN
5000,Beez,Ja,NAMUR,NAMEN
6987,Beffe,Ja,RENDEUX,LUXEMBURG
3130,Begijnendijk,Neen,BEGIJNENDIJK,VLAAMS-BRABANT
6672,Beho,Ja,GOUVY,LUXEMBURG
1852,Beigem,Ja,GRIMBERGEN,VLAAMS-BRABANT
